video_id	upload_date	title
VbX24V_JFQI	20260331	Stop Shipping on Vibes — How to Build Real Evals for Coding Agents
YwZR6tc7qYg	20260324	Everything We Got Wrong About Research-Plan-Implement -  Dexter Horthy
