video_id	upload_date	title
U6LbW2IFUQw	20250213	This is Hands Down the BEST Way to Build AI Agents
uWDocIoiaXE	20250203	You HAVE to Try Agentic RAG with DeepSeek R1 (Insane Results)
yRIEpNlacd0	20250120	INSANE New Strategy for Building AI Agent Apps
_R-ff4ZMLC8	20250116	The Future of RAG is Agentic - Learn this Strategy NOW
zf_D2Eafvk0	20250106	Pydantic AI + DeepSeek V3 - The BEST AI Agent Combo
aZn8PhqUZVU	20241219	bolt.diy: The Future of Open Source AI Coding - What's Next?
p8BTuuTr5iU	20241211	BREAKING NEWS: oTToDev is Now the OFFICIAL Open Source Bolt.new
pC17ge_2n0Q	20241209	We've Been Building AI Agents WRONG Until Now
23s2N3ug8B8	20241205	Flowise + n8n - The BEST No Code + Local AI Agent Combo
nkqQfABopyc	20241202	Our Bolt.new Fork's Most Requested Feature is FINALLY Here
ukhe1013Jpk	20241128	I'm Addicted to Windsurf, Send Help
R6AYmqcOXaw	20241125	Claude Computer Use + Bolt.new - The ULTIMATE AI Coding Combo?!
5I9VgwauuzU	20241118	oTToDev is Becoming the BEST Open Source AI Coding Assistant
0c05ijEmk2g	20241109	The KING of No Code AI Agent Builders?!
8ommGcs_-VU	20241107	How to Use Bolt.new for FREE with Local LLMs (And NO Rate Limits)
31ivQdydmGg	20241104	We're Taking this AI Coding Assistant to the MOON [Plus Installation Instructions!]
8jpVeUTNExI	20241031	Ollama + OpenAI's Swarm - EASILY Run AI Agents Locally
jm007pw2v1A	20241028	This Bolt.new Fork is EXPLODING - Don't Miss out on What's Happening!
E2GIZrsDvuM	20241024	Use Open WebUI with Your N8N AI Agents - Voice Chat Included!
p1YvKuRfEhg	20241021	I'm Building the BEST Open Source AI Coding Assistant with YOUR Help
q7_5eCmu0MY	20241017	OpenAI's Swarm - a GAME CHANGER for AI Agents
3PFcAu_oU80	20241014	I Forked Bolt.new and Made it WAY Better
T1ZKEmDN8AA	20241010	Effortless RAG in n8n - Use ALL Your Files (PDFs, Excel, and More)
JyolNYRbAcs	20241003	Build a FULL Stack App for your n8n AI Agent in 20 Minutes
ieLdMih5_V0	20240928	I Built a FULL RAG AI Agent with No Code in 4 Minutes with VectorShift
8hAMASB-RpM	20240923	Don't Sleep on the ULTIMATE AI Agent Combo (n8n, LangChain, Python)
PEI_ePNNfJQ	20240905	This RAG AI Agent with n8n + Supabase is the Real Deal
Xifzdn7zW3A	20240826	No Code RAG Agents? You HAVE to Check out n8n + LangChain
VxTw9tzzlbc	20240819	You're WASTING TIME Coding Your AI Agents
